company_name,scopes
任天堂株式会社,「娯楽は他と違うからこそ価値がある」という「独創」の精神を大切にし、お客様に良い意味で驚いていただける商品やサービスを提供
ソニー株式会社," 夢と好奇心
多様性
高潔さと誠実さ
持続可能性"
株式会社星野リゾート,リゾート経営の達人になる
マツダ株式会社," クルマをこよなく愛しています。人々と共に、クルマを通じて豊かな人生を過ごしていきたい。
未来においても地球や社会とクルマが共存している姿を思い描き、どんな困難にも独創的な発想で挑戦し続けています。"
合同会社DMM.com,規模の大小、ジャンル関係なく、 未来を感じるビジネスにはひとまず投資。 なんでもやります。ひとまずなんでもやっちゃいます。
ヤフー株式会社,インターネットができることは無限にあります。ヤフーはこれからもチャレンジを続け、全てのステークホルダーの皆様にとって必要不可欠な存在となることを目指します。
株式会社オリエンタルランド," 自由でみずみずしい発想を原動力に
すばらしい夢と感動
ひととしての喜び
そしてやすらぎを提供します。"
パナソニック株式会社," A Better Life, A Better World
より良いくらしを創造し、
世界中の人々のしあわせと、社会の発展、そして地球の未来に貢献しつづけることをお約束します。"
株式会社資生堂,多くの人々との出会いを通じて、新しく深みのある価値を発見し、美しい生活文化を創造します。
住友不動産株式会社,より良い社会資産を創造し、それを後世に残していく
日産自動車株式会社,独自性に溢れ、革新的な車やサービスを創造し、その目に見える優れた価値を、全てのステークホルダーに提供します。それらはルノーとの提携のもとに行っていきます。
株式会社ミルボン," 美しい生き方、美しい髪は人の心を豊かにします。豊かな心は文化を育みます。
文化を大切にする社会は平和をもたらします。
ミルボンはそう信じて事業展開を推進し、業界、ひいては国、地域に貢献します。"
株式会社ノジマ,デジタルGS4(Goods・Soft・Support・Service・Solution)を提供・普及させ、 地域、さらには日本の発展に貢献する
株式会社メルカリ,大胆にやろう・全ては成功のために・プロフェッショナルであれ
株式会社セブン&アイ・ホールディングス,お客様をはじめすべてのステークホルダーの皆様との信頼関係をより緊密にしながら、今後も生活の中に便利さ、快適さ、安心感、満足感などを生み出す素晴らしい｢体験｣をお届けしてまいります。
株式会社キーエンス,全ては付加価値の創造のために
株式会社パソナグループ," 社会の問題点を解決する
この役割を果たすため、常に高い志と使命感をもち、新たな社会インフラを構築し、果敢に挑戦し続けることを使命とします。"
日本マイクロソフト株式会社,革新的で、安心して使っていただけるインテリジェントテクノロジを通して、日本の社会変革に貢献する
日本マクドナルドホールディングス株式会社,ハンバーガービジネスで培った資産を有効活用し、経営の効率化と機動性の強化を通して企業価値の向上を図ることにより、長期的かつ安定的なグループ企業の成長を図りたいと考えております。
株式会社良品計画,「良品」の新たな価値と魅力を生活者の視点で探求し、提供していく。
株式会社アシックス,スポーツでつちかった知的技術により、質の高いライフスタイルを創造する
ウエルシアホールディングス株式会社,地域社会などのステークホルダーにとって最良の企業であるべく、地域を支え地域と共に成長し、社会的価値と経済的価値の創出を実現してまいります。
日本アイ・ビー・エム株式会社,あらゆる関係における信頼と一人ひとりの責任
吉本興業ホールディングス株式会社,吉本興業グループは、「笑い」を中心としたエンタテインメントによる社会貢献と、 「誰もが、いつでも笑顔や笑い声をもてる社会」の実現を目指しています。
株式会社ZOZO," 世界中をカッコよく、世界中に笑顔を。
いい人をつくる
つながる人を増やす"
カルビー株式会社,自然の恵みを大切に活かし、おいしさと楽しさを創造して、人々の健やかなくらしに貢献します。
合同会社ユー・エス・ジェイ,私たちは、ゲストの期待を常に上回る「ワールドクラスの体験」を提供し、 世界のエンターテイメント・リーディングカンパニーを目指します。
株式会社サマンサタバサジャパンリミテッド,すべての世界の人たちに圧倒的な勢いと勇気を感じてもらえる感動的企業
株式会社エスクリ,人の力をコアバリューとし、多様なスタッフが能力や専門性を最大限に発揮し、お互いに活かし合える企業体をめざしています。
トヨタ自動車株式会社,仲間とともに情熱を持って未来を創造していきます
株式会社ビックカメラ," 1、最高のサービスをお客様に提供することで社会に貢献する。
2、お客様第一主義"
山崎製パン株式会社,「良品廉価・顧客本位の精神で品質と製品、サービスをもって世に問う」「知恵と知識によって変化に挑戦し、新しい価値と新しい需要を創造する」
株式会社ジンズ,人々の生き方そのものを豊かに広げ、これまでにない体験へと導きたい。だからこそ、私たちはメガネのその先について考え抜き、「あたらしい、あたりまえ」を創り、まだ見ぬ世界を拓いていく。
LINE株式会社,あらゆるものとユーザーがいつでも、どこでも、最適な距離でシームレスに繋がっていく、LINEを入り口として生活の全てが完結する世界の実現を目指していきます。
株式会社電通,世の中の変化を的確の捉え、社会的価値の創造によりサステナブルな社会の実現を目指します。
株式会社三越伊勢丹ホールディングス," 1、データが自分をつくる。
２、時代より先に変わろう。
3、他社が私を新しくする。"
株式会社バンダイナムコホールディングス,「夢・遊び・感動」は幸せのエンジンです。わたしたちバンダイナムコは斬新な発想と、あくなき情熱で、エンターテインメントを通じた「夢・遊び・感動」を世界中の人々へ提供しつづけます。
株式会社LIXILグループ,優れた製品とサービスを通じて、世界中の人びとの豊かで快適な住生活の未来に貢献します。
株式会社マツモトキヨシホールディングス," あなたにとっての、いちばんへ。
すべてのお客様のためにまごころをつくします。
すべてのお客様の美と健康のために奉仕して参ります。
すべてのお客様にとって、いちばん親切なお店を目指します。"
株式会社ファーストリテイリング,独自の企業活動を通じて人々の暮らしの充実に貢献し、社会との調和ある発展を目指します
SMC株式会社,Noとは言わないのがSMC流の顧客第一主義です。
明治ホールディングス株式会社," 「おいしさ・楽しさ」の世界を拡げ、「健康・安心」への期待に応えてゆくこと。
「お客さまの気持ち」に寄り添い、日々の「生活充実」に貢献すること。"
サイボウズ株式会社,働き方改革を推進したり、自社メディアで情報を発信したり、地方創生を支援したり、お客様やパートナー様をつなげたり、ありとあらゆる手段を尽くし、社会のチームワーク向上に努めていきます。
株式会社ツルハホールディングス," お客様の生活に豊かさと余裕を提供する
お客様第一
しんせつ第一
信用第一"
株式会社ベイカレント・コンサルティング,日本発の総合コンサルティングファームとして、政府や様々な業界を代表する企業の抱える課題を解決し、成果を生み出すことで、クライアントの持続的な発展に貢献し続けていくこと
株式会社コーセー," コーセーを愛し支える人達のために
ひとりひとりを大切に
安定よりも成長を
独自の技術で最高の品質を
人々の期待に応え、期待を超える
コーセーを世界に"
株式会社大塚商会,お客様の目線で｢ITでオフィスを元気にする｣を実践し、信頼に応え続けていきます。
日本電産株式会社," 情熱、熱意、執念
知的ハードワーキング
すぐやる、必ずやる、出来るまでやる"
大日本印刷株式会社,人と社会をつなぎ、新しい価値を提供する
カルピス株式会社,“魅力と価値のある商品や技術”を提供して、 “心とからだの健康”に役立ち、 社会に貢献できる企業グループを目指します。
株式会社トリドールホールディングス," ”お客様と接する瞬間に、お客様のよろこびを最大化する。”
お客様に感じていただく、この一瞬の価値を生むことの追及へ。
私たちは、常にチャレンジを続け、次のステージへ、未来へ動き続けます"
株式会社ヤマダ電機,「感謝と信頼」で強い企業を目指し社員総意で企業価値を高め社会に貢献する。
株式会社ラウンドワン," 挑戦し、創造し続けることがラウンドワンの使命
大切な友だちや恋人、家族とともに過ごす何気ないひととき。そこから自然に生まれてくる笑顔。私たちラウンドワンは、その一端を担える存在でありたいと考えています"
日本オラクル株式会社,企業活動に関係があり関心をお持ちの株主様、お客様、社員、そしてパートナー企業様、さらには社会や環境に対して、企業として責任を持ち続けること
株式会社スノーピーク,自らもユーザーであるという立場で考え、お互いが感動できるモノやサービスを提供
株式会社日立製作所,優れた自主技術・製品の開発を通じて社会に貢献する
株式会社ニトリホールディングス,ロマンを原点に、ビジョンを実現していくことで、お客様をはじめとしたステークホルダーの皆様とともに多様な豊かさを分かち合っていきたい
株式会社ローソン,「私たちは“みんなと暮らすマチ”を幸せにします。」の実現に向け、一人ひとりが温かい心をもち、マチの日々の暮らしを支える「なくてはならない存在」として、企業価値の向上に向け取り組んでまいります。
株式会社あみやき亭,常に「創造と挑戦」を心がけ、美味しい料理を提供することで、お客様に「感動」を与え、社会に貢献する企業を目指しています。
エイベックス株式会社,コミュニケーション・コラボレーションが起きる　働きがいのある　エンタテインメント企業ならではの機能を備えている
ファナック株式会社,Service First
花王株式会社,全員の熱意と力を合わせ、清潔で美しくすこやかな暮らしに役立つ商品と、産業界の発展に寄与する工業用製品の分野において、消費者・顧客と共に感動を分かち合う価値ある商品とブランドを提供します。
株式会社USEN-NEXT　HOLDINGS,変化に伴う試行錯誤を楽しみながら、新しい発明や創造を楽しむ遊び心と、物事の本質を探求する好奇心、そして実現に向けた強い志と野心を抱いて、新しいプラットフォームの創造に挑戦してまいります。
株式会社ひらまつ," ・ 食文化の普及に努め、心豊かな時を提供するとともに、日本の伝統的な「もてなす心」を世界に発信する企業であり続ける
・ 社員一人一人が豊かさと幸せを享受し、夢を追い続ける企業であり続ける"
株式会社アクシーズ," 一、安心して食べられ、健康に良いものであること
一、鮮度が良く、美味しいものであること
一、お客様に満足いただける価値を持っていること
一、低価格で提供できること
一、整然とした清潔な工場で造られていること"
日清食品ホールディングス株式会社,さまざまな｢食｣の可能性を追求し、夢のあるおいしさを創造していきます。さらに、人類を｢食｣の楽しみや喜びで満たすことを通じて、社会や地球に貢献します。
株式会社共立メンテナンス," 私たちが、かくも「下宿屋」にこだわるのは、
人にしかできないサービスを大切にしたいからです。"
京セラ株式会社,全従業員の物心両面の幸福を追求すると同時に、人類、社会の進歩発展に貢献する
株式会社光通信,すべての人に満足を・・・
大和ハウス工業株式会社,心を、つなごう。｢人・街・暮らしの価値共創グループ｣として、お客様と共に新たな価値を創り、活かし、高め、人が心豊かに生きる社会の実現を目指します。
株式会社ツツミ,お客様に美と夢と満足を提供する
株式会社サイバーエージェント," クリエイティブで勝負する。
「チーム・サイバーエージェント」の意識を忘れない。
世界に通用するインターネットサービスを開発し、グローバル企業になる。"
株式会社ブルボン," 利害相反する人を含めて、
集団の生存性を高める"
コカ・コーラボトラーズジャパンホールディングス株式会社,人生のあらゆる場面においてハッピーな瞬間とさわやかさを提供する総合飲料企業としてお客さま、お得意さま、株主さま、地域社会、社員に対して持続的に高水準の付加価値を提供してまいります。
株式会社オークワ,地域密着企業として、これまで以上に時代のニーズに即した便利さとお買い物の楽しさをご提供する「驚きと感動」のあるお店作りに努力して参ります
楽天株式会社,ユーザーおよび取引先企業へ満足度の高いサービスを提供するとともに、多くの人々の成長を後押しすることで、社会を変革し豊かにしていくことに寄与していきます。
富士ソフト株式会社,もっと社会に役立つ、もっとお客様に喜んでいただける、もっと地球に優しい企業グループ、そして「ゆとりとやりがい」
三井不動産株式会社,「共生・共存」「多様な価値観の連繋」「持続可能な社会の実現」
株式会社コスモス薬品," ディスカウントを高い次元に保った『小商圏型メガドラッグストア』というフォーマットの完成を追求しています。
いつまでも地域のお客様に愛される企業でありつづけるために努力邁進してまいります。"
三菱鉛筆株式会社,日本における筆記具のトップメーカーから“世界のトップメーカー”へ
川崎重工業株式会社,広汎な領域における高度な総合技術力によって、地球環境との調和を図りながら、豊かで美しい未来社会の形成に向けて、新たな価値を創造します。
三菱地所株式会社,まちづくりを通じての真に価値ある社会の実現
亀田製菓株式会社,創業の心を胸に、お客様に愛される安全・安心な商品をつくり続けてまいります。また、お客様やお取引先の皆様とのコミュニケーションを深め、信頼されるブランドを目指してまいります。
日本テレビホールディングス株式会社," 新たなメディア・コンテンツと生活・文化を生み出す""豊かな時を提供する企業"""
富士通株式会社,常に変革に挑戦し続け、快適で安心できるネットワーク社会づくりに貢献し、豊かで夢のある未来を世界中の人々に提供する
ユニゾホールディングス株式会社," 1.全てのステークホルダーとともに豊かさと価値を創造する企業
2.お客様の信頼と期待に応え、選ばれ続ける企業
3.社会と環境に貢献する企業
を目指します。"
武田薬品工業株式会社," タケダイズム(誠実:公正・正直・不屈)をすべての行動を指針とし、ビジョンを実現します。
誠実 Integrity
公正 Fairness
正直 Honesty
不屈 Perseverance"
ワタベウェディング株式会社," 真心の奉仕と知恵ある提案を通じて、すてきな生活文化を創造し、心豊かな社会の実現に貢献する
グループとしての総合力を結集し、ブライダルに対する多様なニーズに付加価値の高い提案力でお応えします。"
株式会社千葉銀行,地方創生への積極的な参画をつうじて地域の発展に貢献
ヤマハ株式会社,私たちは、音・音楽を原点に培った技術と感性で、新たな感動と豊かな文化を世界の人々とともに創りつづけます
株式会社エフピコ," 食文化・食生活の変化を先取りし、お客様満足を第一とした
高品質な製品とサービスを提供"
株式会社サカイ引越センター,さらなる安全品質の向上
株式会社オービック,これからも長年にわたり培った技術・ノウハウを最大限に活かし、企業利益の最大化に貢献する「価値あるソリューション」をワンストップ・ソリューション・サービスでお届けしてまいります。
本田技研工業株式会社,地球的視野に立ち、世界中の顧客の満足のために、質の高い商品を適正な価格で供給することに全力を尽くす。
株式会社神戸物産,「良いものをより安く」を大義として、皆さまの生活を少しでも支えたい。
株式会社 小学館,出版物が世の中全ての悪いことを 無くすことはできないが、 人の心に良い方向を生み出す、 何らかの小さな種子をまくことはできる。 人生の中で大きく実となり、花開く種子を まくという仕事が出版であり、 これが当社の理念です。